Year,Grade,State,Gender,Age,Height,Armspan,RightFoot,IndexFinger,TransMethod,CommuteTime,ReactionTime,MemoryTime,FavPhysAct,BirthMonth,FavSeason,FavSubj,SchoolNight,NonschoolNight,HomeOcc,PlannedEd,Superpower,RoleModel,Height_cm,Armspan_cm
2020,11,NC,Female,17,64.96,64.96,24,71,Car,10,1,42,Swimming,April,Spring,Science,7,9,3,Graduate degree,Fly,Relative,165,165
2021,12,NC,Male,18,71.97,70.87,29.4,76.2,Car,15,0,96,Basketball,November,Winter,English,8,7,4,High school,Telepathy,Other,182.8,180
2019,12,CO,Male,17,75,77,28,102,Car,22,0,43,Baseball/Softball,June,Spring,Science,8,10,4,Undergraduate degree,Freeze time,Sports person,190.5,195.58
2018,12,KS,Male,17,64.96,66.14,27,90,Car,15,1,53,Walking/Hiking,December,Summer,English,6,10,4,Graduate degree,Fly,Relative,165,168
2019,12,CA,Male,16,70.08,70.87,28,75,Walk,10,0,36,Baseball/Softball,December,Summer,Art,7,9,3,Graduate degree,Fly,Doctor or nurse,178,180
2018,12,OK,Female,16,63.39,62.99,25,85,Car,10,1,42,Tennis,July,Summer,Mathematics and statistics,7,8,3,Graduate degree,Freeze time,Doctor or nurse,161,160
2018,9,GA,Male,14,68.9,70.87,25,90,Bus,25,0,39,Basketball,July,Summer,Physical education,8,9,3,Graduate degree,Freeze time,Sports person,175,180
2021,12,CO,Female,16,64.96,64.96,24,79,Car,42,1,47,Soccer,December,Winter,Mathematics and statistics,4,6,2,Undergraduate degree,Fly,Relative,165,165
2021,12,TX,Male,17,70.87,70,25.4,100,Car,8,0,43,Other,August,Summer,Music,7,6,5,Undergraduate degree,Super strength,Musician or singer,180,177.8
2019,12,CT,Female,17,67.01,65.94,24.8,75,Car,25,1,37,Other,June,Summer,History,7.5,8,4,Graduate degree,Telepathy,Other,170.2,167.5
2021,11,MA,Female,17,64.96,73.23,20,85,Car,4,0,35,Baseball/Softball,June,Fall,Art,4,4,2,Graduate degree,Freeze time,Friend,165,186
2021,11,GA,Male,15,72.99,72.44,11,70,Car,30,1,30,Football (American),January,Winter,Social studies,8,6,5,Graduate degree,Super strength,Sports person,185.4,184
2018,12,CA,Female,17,66.14,61.81,27,65,Car,28,0,35,Lacrosse,January,Fall,Art,5,9,3,Undergraduate degree,Invisibility,Friend,168,157
2018,12,NC,Female,15,66.14,66.14,24.5,69,Car,13,0,50,Soccer,December,Spring,Science,6.5,10.5,5,Graduate degree,Fly,Relative,168,168
2018,12,MA,Female,17,70,64.96,25.4,100,Car,5,0,42,Lacrosse,August,Summer,Science,6.5,10,4,Graduate degree,Fly,Relative,177.8,165
2019,12,FL,Male,19,71.26,70.87,26,90,Car,15,1,84,Other,January,Winter,History,8,10,3,Graduate degree,Fly,Sports person,181,180
2022,12,GA,Male,18,72.83,70.87,35,101.6,Car,20,0,15,Athletics,October,Summer,Physical education,7,8,5,Graduate degree,Invisibility,Sports person,185,180
2018,10,FL,Female,17,67.8,65,25,80,Car,35,0,40,Dancing,December,Fall,Science,9,10,4,Graduate degree,Freeze time,Other,172.2,165.1
2020,12,FL,Male,17,71.26,70.08,28,110,Car,25,0,41,Other,March,Fall,Mathematics and statistics,7,8,6,Graduate degree,Freeze time,Business person,181,178
2019,11,CA,Female,16,62.99,62.99,22,70,Car,10,1,46,Martial Arts,December,Winter,Science,7,9,5,Graduate degree,Freeze time,Relative,160,160
2019,10,MA,Female,16,66.14,67.5,26.5,70,Car,65,1,44,Dancing,May,Summer,Music,4,8,10,Graduate degree,Freeze time,Musician or singer,168,171.45
2019,12,CT,Female,18,67.99,67.52,22.7,90,Car,8,0,47,Basketball,March,Summer,English,7,9,4,Graduate degree,Invisibility,Friend,172.7,171.5
2021,12,CO,Female,18,64.17,62.99,24,76,Skateboard,15,1,36,Martial Arts,September,Summer,English,6,6,3,Some college,Super strength,Relative,163,160
2018,11,IN,Female,16,61.97,55.12,23.5,60,Car,10,1,46,Baseball/Softball,November,Summer,Physical education,7,11,4,Graduate degree,Freeze time,Business person,157.4,140
2021,12,CA,Female,17,64.96,62.99,25,75,Car,20,0,69,Soccer,September,Spring,English,6,10,5,Graduate degree,Fly,Relative,165,160
2019,12,NC,Male,17,66.93,67.72,25,80,Walk,5,0,40,Soccer,August,Fall,Other,6,10,3,Graduate degree,Telepathy,Business person,170,172
2022,9,MI,Female,14,62.99,55.91,23,70,Bus,60,0,57,Gymnastics,September,Winter,Physical education,7,4,4,Some college,Fly,Coach or club leader,160,142
2018,12,NY,Male,18,71.65,75.59,29.3,115,Railway,35,0,38,Football (American),April,Spring,Computers and technology,6,9,6,Graduate degree,Freeze time,Other,182,192
2021,12,VA,Male,17,72.05,71.26,29,74,Car,10,0,35,Skateboarding/Rollerblading,October,Fall,Physical education,6,9,3,Undergraduate degree,Freeze time,Actor,183,181
2018,12,VA,Female,17,67.99,75.98,19,80,Car,7,0,60,Lacrosse,May,Spring,Science,8,7,3,Graduate degree,Invisibility,Relative,172.7,193
2018,12,NJ,Female,17,64.57,64.57,24,65,Car,12,0,36,Other,March,Summer,Mathematics and statistics,6,9,6,Graduate degree,Invisibility,Coach or club leader,164,164
2018,10,KY,Male,15,65.75,67.32,26,73,Bus,30,0,35,Swimming,December,Summer,Mathematics and statistics,8,8,4,Graduate degree,Fly,Musician or singer,167,171
2018,12,SC,Female,17,66.14,66.54,24,70,Car,10,0,47,None,March,Winter,Science,8,11,5,Graduate degree,Invisibility,Relative,168,169
2022,12,AL,Male,18,71.97,74.02,28,80,Car,20,0,34,Football (American),January,Fall,Other,7,8,5,Graduate degree,Invisibility,Business person,182.8,188
2021,12,PA,Female,18,64.57,68.11,25,75,Car,13,0,37,Athletics,October,Winter,Science,7.5,8.5,3,Graduate degree,Freeze time,Relative,164,173
2019,12,MA,Male,17,74.8,75.98,27.5,115,Car,14,0,50,Hockey (Ice),February,Summer,Social studies,7,10,4,Graduate degree,Fly,Sports person,190,193
2018,12,PA,Male,18,72.83,74.8,27,97,Car,11,0,38,Other,August,Summer,Science,6,6,3,Graduate degree,Telepathy,Relative,185,190
2020,11,WA,Female,16,62.99,47.64,22,65,Walk,30,0,41,Other,July,Summer,Physical education,7,7,6,Some college,Fly,Other,160,121
2018,12,IA,Female,17,64.17,64.96,23,66,Car,7,0,50,Tennis,January,Fall,Art,9,9,5,Undergraduate degree,Freeze time,Relative,163,165
2019,12,MI,Female,17,64.96,66.14,23,70,Car,6,0,38,None,August,Fall,History,6.5,4,6,Undergraduate degree,Invisibility,Relative,165,168
2018,12,NE,Female,16,65.75,66.93,25,72,Car,20,0,38,Soccer,January,Fall,Mathematics and statistics,6,9,8,Graduate degree,Freeze time,Relative,167,170
2019,12,MO,Female,18,64.96,66.93,24,80,Car,10,0,33,Swimming,August,Fall,Science,7.4,8.9,3,Graduate degree,Invisibility,Other,165,170
2022,11,WA,Female,17,63.78,57.87,24,95,Bus,20,1,45,Walking/Hiking,November,Fall,Other,5,6,4,Graduate degree,Telepathy,Teacher,162,147
2019,12,KS,Female,17,66.93,66.14,25,75,Car,7,1,41,Basketball,June,Fall,Music,7,8,3,Graduate degree,Super strength,Community leader or elder,170,168
2018,12,NH,Male,18,66.93,66.93,33,85,Other,5,0,32,Walking/Hiking,April,Winter,History,6,12,4,Undergraduate degree,Invisibility,Teacher,170,170
2018,11,NY,Male,15,63.94,63.94,25.4,101.8,Railway,30,0,62,Walking/Hiking,September,Spring,Other,7,7,3,Some college,Freeze time,Other,162.4,162.4
2021,12,KS,Female,17,72.05,72.44,31,95,Car,14,0,49,Basketball,July,Summer,Physical education,9,10.5,4,Graduate degree,Freeze time,Relative,183,184
2018,12,VA,Female,17,61.42,60.63,24.5,60,Car,20,0,48,Lacrosse,December,Fall,Social studies,6,9,3,Graduate degree,Telepathy,Musician or singer,156,154
2018,12,FL,Male,17,76.77,76.77,26.25,81.25,Bus,40,1,60,Walking/Hiking,April,Winter,Physical education,5,8,2,Other,Freeze time,Other,195,195
2018,12,NY,Male,18,71.46,74.02,26.3,102,Railway,25,0,33,Football (American),May,Summer,History,6.5,7.5,3,Graduate degree,Telepathy,Politician,181.5,188
2021,12,FL,Female,16,60.12,64.17,22,75,Bus,30,1,31,Soccer,December,Winter,Science,6,12,3,Other,Telepathy,Other,152.7,163
2021,12,NC,Female,17,61.81,59.84,24,74,Car,4,0,40,Tennis,August,Fall,Science,5,9,5,Graduate degree,Fly,Relative,157,152
2018,9,GA,Female,15,60,52,21,60,Car,6,0,40,Walking/Hiking,November,Summer,Science,6,9,7,Graduate degree,Telepathy,Other,152.4,132.08
2019,12,RI,Male,17,66.93,68.9,27,60,Car,10,0,46,Basketball,March,Spring,Physical education,5,6,4,Undergraduate degree,Freeze time,Other,170,175
2021,12,CA,Male,17,67.72,66.14,26,75,Car,12,1,41,Basketball,March,Winter,Physical education,8,9,4,Undergraduate degree,Invisibility,Relative,172,168
2019,12,MN,Female,17,66.93,64.96,24,75,Car,20,0,39,Other,February,Winter,Science,6,8,3,Graduate degree,Fly,Relative,170,165
2021,12,FL,Female,17,64.96,66.14,24.82,80,Car,45,0,61,Dancing,June,Fall,History,8,8,4,Graduate degree,Telepathy,Business person,165,168
2021,12,IN,Female,17,62.01,54.72,19.5,70,Car,12,1,74,Dancing,August,Summer,History,7.5,9,6,Some college,Invisibility,Relative,157.5,139
2019,12,OH,Male,18,71.97,69,29.21,70,Walk,10,0,59,Other,August,Spring,Music,5,7,4,Graduate degree,Freeze time,Relative,182.8,175.26
2018,12,OH,Female,18,62.99,63.78,22.5,79,Car,5,0,38,Swimming,August,Fall,Mathematics and statistics,8,6,3,Some college,Invisibility,Relative,160,162
2019,10,IL,Female,15,65.75,66.93,24,70,Bus,15,1,44,Dancing,March,Fall,English,8,10,4,Some college,Telepathy,Actor,167,170
2019,12,CA,Male,17,65,69,28,85,Walk,5,0,59,Swimming,August,Winter,Other,9,10,4,Graduate degree,Fly,Teacher,165.1,175.26
2020,11,IN,Male,17,73.62,72.83,31,110,Car,14,0,77,Football (American),November,Spring,Physical education,9,7,4,Other,Freeze time,Coach or club leader,187,185
2021,12,NY,Female,17,68.11,63.78,26,60,Railway,40,1,63,Soccer,April,Spring,English,7,8,4,Graduate degree,Freeze time,Relative,173,162
2018,12,CA,Male,16,70.87,77,29,83,Car,2,0,40,Swimming,June,Spring,Science,8,8,6,Other,Freeze time,Doctor or nurse,180,195.58
2020,12,IN,Female,16,64,67.32,25,80,Car,10,1,42,Golf,June,Fall,Other,8,8,3,Undergraduate degree,Invisibility,Sports person,162.56,171
2018,12,FL,Female,17,65,62,22,85,Car,10,1,51,Other,August,Winter,Science,5,8,5,Graduate degree,Fly,Doctor or nurse,165.1,157.48
2020,12,IL,Female,17,64.17,62.99,21,75,Car,7,0,44,Running/Jogging,August,Fall,Other,7,8,4,Graduate degree,Freeze time,Relative,163,160
2021,12,MD,Female,17,65,62.99,25,76,Car,7,0,32,Running/Jogging,November,Fall,Other,7,9,4,Graduate degree,Freeze time,Sports person,165.1,160
2019,11,DE,Female,17,62.99,62,27,54,Car,25,0,65,Other,September,Summer,Science,5,8,5,Graduate degree,Invisibility,Relative,160,157.48
2018,12,FL,Male,17,67.32,71.46,25.5,80,Car,45,1,50,Football (American),May,Summer,History,5.5,10,7,Graduate degree,Invisibility,Relative,171,181.5
2020,10,IN,Female,15,62.99,62.2,24,70,Bus,30,0,33,Other,May,Fall,Mathematics and statistics,7,9,4,Graduate degree,Telepathy,Relative,160,158
2018,11,NY,Male,16,69.49,69.69,32,40,Railway,30,0,50,Baseball/Softball,January,Summer,Physical education,6,12,5,Graduate degree,Invisibility,Sports person,176.5,177
2019,10,TX,Female,14,60,70.87,20,70,Car,25,1,59,None,April,Fall,Art,7,10,5,Other,Super strength,Other,152.4,180
2019,12,OH,Female,17,61.81,61.81,25,70,Car,3,0,45,Other,April,Summer,Languages,5,10,4,Graduate degree,Telepathy,Business person,157,157
2020,12,NC,Female,16,68.11,68.11,25,63.5,Car,10,0,45,Basketball,March,Fall,Music,6,8,5,Graduate degree,Invisibility,Musician or singer,173,173
2018,12,WI,Male,17,67.72,70.87,27,77,Car,6,0,54,Other,June,Summer,Science,9,8,4,Graduate degree,Invisibility,Doctor or nurse,172,180
2021,12,MD,Female,18,61.81,63.78,23,74,Bus,10,0,40,Running/Jogging,February,Fall,Science,5,9,5,Graduate degree,Freeze time,Musician or singer,157,162
2018,12,TX,Female,17,66.93,62.99,27,90,Car,3,0,34,Running/Jogging,June,Fall,English,5,5,3,Graduate degree,Freeze time,Relative,170,160
2019,12,CA,Female,17,69.57,65.51,23,70,Car,20,0,43,Other,April,Winter,English,6,8,3,Graduate degree,Telepathy,Relative,176.7,166.4
2021,9,MI,Female,15,66.54,62.99,25,70,Car,25,0,51,Dancing,September,Summer,Mathematics and statistics,7,9,5,Graduate degree,Freeze time,Relative,169,160
2021,12,NJ,Male,18,77.17,77.95,28,110,Car,40,0,34,Athletics,October,Spring,Computers and technology,6,10,4,Graduate degree,Freeze time,Relative,196,198
2018,12,ID,Female,17,70,69.02,24.5,78,Car,6,0,45,Tennis,March,Fall,Languages,6,6,4,Graduate degree,Super strength,Coach or club leader,177.8,175.3
2018,11,SC,Female,15,61.02,59.06,24,75,Bus,20,1,39,Swimming,May,Fall,Music,8,6,4,Graduate degree,Fly,Musician or singer,155,150
2021,12,CA,Female,17,67.32,70.87,24,85,Car,7,0,40,Skateboarding/Rollerblading,August,Winter,Mathematics and statistics,9,11,4,Graduate degree,Freeze time,Doctor or nurse,171,180
2019,11,WA,Female,17,66.93,64.57,23,80,Bus,18,1,66,Tennis,January,Fall,Music,4,12,4,Graduate degree,Telepathy,Friend,170,164
2021,9,MI,Female,14,64.17,66.93,24,66,Car,25,0,47,Baseball/Softball,May,Fall,History,9,11,5,Graduate degree,Telepathy,Relative,163,170
2021,12,TX,Female,17,66.14,63.78,25,50,Car,3,1,45,Other,April,Summer,History,7,5,4,Graduate degree,Invisibility,Friend,168,162
2022,11,WA,Female,16,61.42,55.98,27,100,Car,20,0,44,None,August,Summer,Art,6,8,3,Some college,Telepathy,Relative,156,142.2
2019,10,VT,Female,15,70.87,66.93,25,90,Car,6,1,47,Baseball/Softball,August,Summer,English,8,10,3,Graduate degree,Freeze time,Business person,180,170
2019,11,MN,Male,16,72.83,66.93,26,80,Car,5,0,55,Soccer,March,Spring,History,7,10,4,Graduate degree,Freeze time,Doctor or nurse,185,170
2020,12,OK,Female,17,68.11,72.44,26,70,Bus,16,1,45,Dancing,September,Fall,Other,6,10,5,Graduate degree,Super strength,Religious figure,173,184
2018,9,CA,Male,15,61,58.66,23,70,Car,10,0,37,Soccer,September,Spring,Computers and technology,6,11,6,Graduate degree,Telepathy,Relative,154.94,149
2021,11,SC,Female,18,64.17,66.93,22.86,76,Bus,15,2,47,Basketball,May,Winter,Physical education,9,8,3,Graduate degree,Fly,Relative,163,170
2021,12,NH,Female,17,66.14,64.96,25,90,Car,15,0,26,Dancing,July,Summer,Mathematics and statistics,7,8,4,Graduate degree,Freeze time,Friend,168,165
2021,12,PA,Female,16,67.72,64.57,27,85,Bus,8,1,33,Lacrosse,July,Fall,Mathematics and statistics,7,10,4,Graduate degree,Invisibility,Other,172,164
2019,12,CA,Male,17,70.08,59.06,24,73,Car,10,0,40,Lacrosse,May,Summer,Physical education,8.5,9.5,2,Undergraduate degree,Invisibility,Business person,178,150
2019,12,TX,Male,16,70.87,68.9,28.5,77,Bus,15,0,47,Basketball,June,Spring,Music,8,10,5,Graduate degree,Fly,Business person,180,175
2019,11,WA,Female,16,60,59.17,29.8,70,Car,15,0,32,Golf,July,Summer,History,8,10,2,Some college,Telepathy,Relative,152.4,150.3
2018,12,TX,Female,17,66.93,65.75,39,70,Car,5,1,52,Cycling,April,Fall,English,6,9,4,High school,Telepathy,Relative,170,167
2020,11,CA,Female,18,67.32,65.75,23,70,Car,25,0,40,Other,October,Winter,Art,8,8,3,Graduate degree,Telepathy,Relative,171,167
2018,12,AZ,Female,17,63.03,62.01,25.4,70,Car,8,1,40,Dancing,July,Winter,Other,7,8,4,Undergraduate degree,Fly,Friend,160.1,157.5
2020,12,PA,Male,16,70.08,69.29,26,114,Car,7,0,35,Athletics,February,Fall,Science,8,9,4,Graduate degree,Invisibility,Business person,178,176
2020,12,FL,Female,17,65.75,66.14,24,85,Car,13,0,63,Dancing,March,Fall,Social studies,8,6,4,Graduate degree,Telepathy,Community leader or elder,167,168
2021,12,OH,Male,18,75.47,77.99,27.94,80,Car,3,0,48,Football (American),May,Summer,Mathematics and statistics,8,9,3,Some college,Fly,Relative,191.7,198.1
2018,12,TX,Female,17,58.98,43.31,22.2,76.2,Bus,7,1,51,Other,March,Fall,Music,5,5,5,High school,Telepathy,Teacher,149.8,110
2020,12,MD,Female,17,58.27,58.27,22,77,Bus,15,1,29,Other,February,Fall,Geography,8,13,2,Graduate degree,Telepathy,Actor,148,148
2021,11,SC,Male,17,73.62,72.83,30,104,Car,7,0,30,Other,December,Winter,History,7,12,4,High school,Super strength,Sports person,187,185
2022,12,AL,Female,17,65,64.49,23.8,59,Car,5,0,52,Golf,April,Fall,Languages,7,9,5,Graduate degree,Invisibility,Relative,165.1,163.8
2020,12,CA,Male,17,76.38,76.38,30,90,Car,5,1,8,Basketball,April,Summer,Art,7,8,2,Graduate degree,Invisibility,Business person,194,194
2018,11,GA,Male,16,68.11,70.87,27,80,Car,5,1,43,Football (American),August,Fall,Languages,8,10,4,Graduate degree,Telepathy,Religious figure,173,180
2021,11,SC,Female,17,64.96,61,30,60,Bus,64,1,43,Skateboarding/Rollerblading,March,Winter,English,8,10,3,Graduate degree,Freeze time,Other,165,154.94
2018,12,CA,Male,16,68.5,74.41,27,100,Car,7,0,59,Basketball,September,Winter,Science,7,10,3,Graduate degree,Freeze time,Sports person,174,189
2021,12,NC,Female,17,62.99,62.2,24,70,Car,5,0,52,Basketball,January,Fall,Music,7,9,4,Graduate degree,Telepathy,Relative,160,158
2019,11,NY,Male,15,68.9,65,28,40,Bus,100,0,53,Football (American),November,Winter,Science,10,4,10,Graduate degree,Freeze time,Community leader or elder,175,165.1
2022,12,IN,Female,18,65.35,66.54,21,75,Car,15,0,43,Soccer,June,Summer,Science,7.5,9,5,Graduate degree,Fly,Coach or club leader,166,169
2020,12,OK,Male,17,61.02,70.08,27,70,Car,10,0,39,None,June,Winter,Computers and technology,8,10,6,High school,Freeze time,Business person,155,178
2021,11,WA,Female,17,62.99,63.39,23.4,68,Car,10,0,50,Dancing,October,Summer,English,6,9,4,Some college,Telepathy,Relative,160,161
2021,12,PA,Female,17,64.96,64.57,23,66,Car,10,0,43,Other,April,Fall,Computers and technology,7,9,4,Graduate degree,Invisibility,Relative,165,164
2020,12,NH,Male,17,69.29,68.11,30,80,Car,10,0,41,None,May,Winter,English,4,10,4,Graduate degree,Freeze time,Relative,176,173
2018,12,TX,Male,17,59.06,64.96,27,70,Car,15,0,44,Other,June,Winter,Science,7,9,3,Graduate degree,Freeze time,Sports person,150,165
2021,12,CA,Female,17,58.27,58.66,21,65,Car,10,0,34,Skateboarding/Rollerblading,April,Fall,Art,9,8,7,High school,Freeze time,Relative,148,149
2018,12,AR,Male,17,72.05,77.17,29,91,Car,6,0,41,Golf,October,Fall,Mathematics and statistics,8,10,4,Graduate degree,Fly,Sports person,183,196
2018,12,FL,Male,16,70.08,76.38,28,80,Car,15,0,58,Baseball/Softball,January,Winter,Physical education,7,12,5,Graduate degree,Super strength,Sports person,178,194
2018,11,CA,Female,15,64.96,62.99,24,70,Car,7,0,39,Basketball,October,Fall,Computers and technology,8,8,4,Graduate degree,Freeze time,Business person,165,160
2018,11,SC,Female,17,68.11,68.5,24,76,Car,6,0,32,Walking/Hiking,January,Fall,Science,7,6,4,Graduate degree,Freeze time,Other,173,174
2019,12,NC,Male,16,64.96,66.54,25,94,Car,15,0,38,Football (American),February,Summer,Science,6,9,4,Graduate degree,Fly,Relative,165,169
2018,12,NY,Male,17,66.54,67.72,26,99,Railway,30,0,36,Dancing,November,Winter,Music,6,10,5,Graduate degree,Fly,Musician or singer,169,172
2018,11,SC,Male,18,67.72,64.96,25,90,Car,8,0,41,Football (American),August,Summer,Physical education,8,11,4,Undergraduate degree,Super strength,Relative,172,165
2018,12,TX,Male,18,65.75,61.02,30,90,Car,7,1,60,Basketball,January,Summer,Physical education,7,9,3,Some college,Invisibility,Relative,167,155
2019,12,PA,Female,17,65,66.14,23,67,Car,15,1,53,Soccer,July,Fall,Social studies,8,11,5,Graduate degree,Freeze time,Relative,165.1,168
2021,12,PA,Male,17,69.29,69.29,39,80,Car,10,0,31,Other,July,Summer,Computers and technology,9,11,5,Graduate degree,Freeze time,Other,176,176
2021,11,SC,Female,17,66.93,62.99,23,50,Car,24,0,37,Basketball,February,Winter,History,7,10,5,Undergraduate degree,Fly,Relative,170,160
2019,12,VA,Female,17,65.75,67.72,24,80,Car,11,0,54,Hockey (Field),March,Summer,History,7,9,4,Graduate degree,Freeze time,Relative,167,172
2019,12,IN,Female,17,61.02,61.02,22,70,Car,15,1,50,Gymnastics,October,Fall,English,7,10,6,Graduate degree,Telepathy,Relative,155,155
2021,12,OH,Female,18,62.99,62.6,23.8,69,Car,10,1,50,Other,August,Summer,English,6,10,2,Graduate degree,Freeze time,Relative,160,159
2020,12,IN,Male,17,70.87,72.05,29,84,Car,6,0,33,Basketball,March,Fall,Physical education,9,7,4,Undergraduate degree,Invisibility,Sports person,180,183
2021,11,NC,Male,17,74.02,74.41,28,108,Bus,6,0,42,Other,June,Summer,Science,9,10,4,Undergraduate degree,Telepathy,Teacher,188,189
2019,9,PA,Male,14,68.11,65.75,25,70,Car,45,0,52,Dancing,April,Winter,Music,7.5,9,5,Graduate degree,Invisibility,Relative,173,167
2019,12,TN,Male,17,71.65,72.83,28,85,Car,10,0,27,Golf,April,Winter,Mathematics and statistics,6,8,3,Some college,Super strength,Relative,182,185
2019,9,MI,Female,14,65.75,62.6,22,76,Car,25,0,36,Soccer,April,Spring,History,8,10,5,Graduate degree,Telepathy,Sports person,167,159
2021,12,NC,Female,17,59.06,47.24,22,70,Car,7,1,45,Other,June,Winter,Science,8,7,4,Graduate degree,Telepathy,Relative,150,120
2019,12,OH,Female,16,60,47.24,15.24,65,Car,15,0,30,Other,September,Fall,History,4,9,7,Graduate degree,Fly,Relative,152.4,120
2020,12,CA,Female,17,63.78,62.99,24,76.2,Walk,5,1,45,Dancing,May,Spring,History,7,9,8,Graduate degree,Freeze time,Other,162,160
2018,10,NC,Male,17,70.08,70.08,27,75,Car,17,0,28,Table Tennis,July,Fall,Mathematics and statistics,8,10,3,Graduate degree,Freeze time,Other,178,178
2018,12,NJ,Male,17,70.08,60,27,120,Bus,10,0,44,Tennis,November,Winter,Mathematics and statistics,7,11,4,Graduate degree,Freeze time,Other,178,152.4
2019,10,IN,Female,15,64.96,68.11,24,80,Car,16,1,43,Tennis,February,Spring,Languages,8,9,4,Graduate degree,Freeze time,Relative,165,173
2019,12,FL,Male,17,70.87,75.2,27,100,Car,5,1,43,Swimming,December,Winter,Mathematics and statistics,6,9,4,Graduate degree,Fly,Musician or singer,180,191
2020,12,AK,Male,17,68.9,71.5,26.67,80.5,Bus,43,0,49,Football (American),August,Summer,Physical education,7,7,5,Graduate degree,Freeze time,Relative,175,181.6
2018,12,IL,Male,17,72.44,72.83,31,89,Car,3,0,35,Tennis,May,Fall,Science,7,6,3,Other,Fly,Other,184,185
2020,12,NC,Male,17,64.96,68.9,26,73,Bus,11,0,39,Basketball,July,Summer,Music,6,10,5,Some college,Telepathy,Musician or singer,165,175
2018,12,TX,Male,17,70.08,67.72,28,80,Car,10,0,50,Baseball/Softball,May,Summer,Science,6,12,6,Some college,Telepathy,Sports person,178,172
2019,12,CA,Male,16,68.11,69.69,26,87,Car,6,0,39,Soccer,February,Winter,Science,6,9,4,Graduate degree,Freeze time,Relative,173,177
2021,12,CA,Female,16,66.54,67,24,99,Car,30,0,40,None,December,Winter,English,7,9,5,Graduate degree,Telepathy,Relative,169,170.18
2021,11,MD,Female,18,62.99,41.97,24,76.2,Bus,45,0,39,Soccer,April,Summer,History,8,6,6,Less than high school,Telepathy,Other,160,106.6
2018,12,PA,Female,18,66.93,63.39,21,65,Car,7,0,29,Dancing,August,Summer,Mathematics and statistics,7,9,4,Graduate degree,Telepathy,Business person,170,161
2021,11,NY,Male,16,66.14,64.57,23,76.2,Railway,45,0,31,Walking/Hiking,June,Fall,Other,7,8,4,Other,Invisibility,Other,168,164
2021,12,MD,Female,17,62.99,61,22,70,Car,20,0,42,Soccer,April,Fall,Science,6,4,4,Graduate degree,Telepathy,Sports person,160,154.94
2018,10,KY,Female,14,60.63,59.84,22,70,Bus,30,0,37,Tennis,October,Fall,Mathematics and statistics,6,9,4,Undergraduate degree,Telepathy,Relative,154,152
2021,12,TX,Male,17,66.93,70.87,27.3,85,Car,13,1,47,Other,May,Winter,Science,5,10,4,Some college,Freeze time,Actor,170,180
2022,12,OH,Female,17,59.06,59.65,21,70,Car,10,0,35,Bowling,February,Summer,Physical education,9,8,3,Graduate degree,Telepathy,Relative,150,151.5
2018,11,WI,Male,17,67.99,66.34,27,80,Car,5,0,41,Baseball/Softball,September,Summer,Physical education,6,4,5,Some college,Fly,Friend,172.7,168.5
2020,12,CA,Male,17,74.02,77.17,27,90,Walk,20,1,66,Other,April,Spring,Science,8,9,4,Graduate degree,Invisibility,Relative,188,196
2021,12,MA,Female,16,68.11,67.32,21,65,Car,20,0,41,Gymnastics,March,Fall,Science,5,9,2,Graduate degree,Telepathy,Relative,173,171
2018,11,NC,Male,17,70.87,68.11,26,75,Car,5,0,36,Basketball,June,Winter,Science,5,10,4,Graduate degree,Freeze time,Actor,180,173
2021,11,SC,Male,18,75.2,74.02,28,76,Car,16,0,55,Football (American),January,Fall,History,7,6,5,Undergraduate degree,Super strength,Relative,191,188
2021,12,MA,Female,18,65.75,66.54,24,70,Car,6,1,49,Soccer,September,Fall,Mathematics and statistics,8,6,3,Undergraduate degree,Telepathy,Relative,167,169
2020,11,SC,Female,17,63.78,59.84,22,63,Car,6,0,36,Skateboarding/Rollerblading,April,Fall,History,4,6,4,Graduate degree,Freeze time,Actor,162,152
2020,12,CT,Female,17,67.17,61.42,24,70,Car,8,0,45,Baseball/Softball,July,Summer,Science,6,6,4,Graduate degree,Telepathy,Relative,170.6,156
2021,12,NC,Female,17,66.93,66.93,25,80,Car,7,0,37,Tennis,June,Fall,History,6,10,4,Graduate degree,Invisibility,Relative,170,170
2018,12,IL,Male,17,72.05,71.26,25,90,Car,7,0,34,Soccer,October,Fall,Science,8,10,4,Undergraduate degree,Fly,Sports person,183,181
2018,11,VA,Female,16,66.69,66.69,27.94,75,Car,15,1,59,Lacrosse,October,Fall,Physical education,9,10,6,Graduate degree,Telepathy,Coach or club leader,169.4,169.4
2018,12,NJ,Female,17,62,62.48,21.59,85,Car,7,0,42,Athletics,August,Summer,Mathematics and statistics,5,8,5,Graduate degree,Telepathy,Relative,157.48,158.7
2021,11,CA,Female,16,64.96,65.75,24,90,Car,25,0,39,Basketball,November,Spring,Computers and technology,6,9,3,Graduate degree,Invisibility,Relative,165,167
2022,12,IN,Female,18,65.47,43.5,25.4,114.3,Car,2,0,39,Other,January,Fall,English,7,9,5,Some college,Freeze time,Musician or singer,166.3,110.5
2018,9,CA,Male,14,57.09,58.66,23,70,Car,30,1,50,Basketball,June,Summer,Physical education,7,9,4,Graduate degree,Super strength,Sports person,145,149
2020,12,CA,Female,17,64.02,62.01,22.9,86.4,Car,10,0,51,Swimming,July,Fall,Science,8,8,4,Other,Fly,Friend,162.6,157.5
